0,1,Total Sequence,Top1 Category,Top1 Sequence,Top2 Category,Top2 Sequence,Top3 Category,Top3 Sequence
plot03,IMG_0004,111111122211111122111,boar,111111122211111122111,,,,
plot03,IMG_0014,11111----------------,raccoondog,11111----------------,,,,
plot03,IMG_0019,---------------------,NA,,,,,
plot03,IMG_0020,---------------------,NA,,,,,
plot03,IMG_0035,--111111111111-------,masked,---11111---11--------,bear,---------11--1-------,raccoondog,--1------------------
plot20,IMG_0004,---------------111---,boar,----------------11---,serow,---------------1-----,,
plot20,IMG_0027,11-------------------,mustelidae,11-------------------,,,,
plot20,IMG_0064,---------------------,NA,,,,,
plot20,IMG_0077,22222121222222222121-,bird,12212121122212111121-,squirrel,1--1----1---1-111----,,
plot20,IMG_0090,--------------------,NA,,,,,
